RSN,HPLVL,HPEXP,TOTLVL,TOTLVLADJ,VIRLVL,VIRLVLADJ,TOTEXP,TOTEXPADJ,CMBLVL,CMBLVLADJ,CMBEXPADJ,RSCORE,TIME
DoorDashes,10,1170,2205,2205,2205,2205,186227505,186227489,114,114,96215541,1710,1775164630
Douthits,14,2190,991,987,991,987,25177240,25176204,42,41,1254497,725,1775164632
DowserSimp,10,1154,2026,2026,2040,2040,189944840,189944840,67,67,2911110,2065,1775164635
DR 072,10,1299,2153,2153,2162,2162,383073841,383073696,127,127,131699144,1880,1775164636
Dr Ber,10,1154,1253,1253,1253,1253,31864753,31864753,13,13,2140150,970,1775164642
Dr DraynorV,10,1240,864,864,864,864,34251538,34251452,82,82,17738457,,1775164644
Dr Lazybum,10,1254,1187,1187,1187,1187,58174538,58174438,76,76,23306084,915,1775164645
Dragonheart,9,1110,2918,2919,2951,2952,1193981776,1193981820,115,116,108453948,5195,1775164647
druul,10,1154,495,495,495,495,27019798,27019798,41,41,9825321,,1775164650
DudeOxi,10,1154,496,496,496,496,5967863,5967863,54,54,1912349,,1775164653
Dugtrio,9,1015,1683,1684,1683,1684,85674241,85674380,91,91,54433751,,1775164656
Dumpsters,10,1154,2780,2780,2851,2851,960375721,960375721,120,120,130925239,3815,1775164657
Durty Slut,10,1191,1479,1479,1479,1479,22010356,22010319,85,85,11327212,1640,1775164658
Dutske,10,1174,2331,2331,2567,2567,4200001273,4200001253,15,15,200001253,5925,1775164659
DuxLimited,10,1180,362,362,362,362,11257357,11257331,13,13,3475185,230,1775164661
